Start_Date,End_Date,Carrier_clean,Volume_Bus,Volume_Passenger
21/06/21,25/06/21,njtransit,2215,39951
21/06/21,25/06/21,peterpanbonanza,30,855
21/06/21,25/06/21,trailways,17,428
21/06/21,25/06/21,transbridge,14,465
28/06/21,02/07/21,academy,36,923
28/06/21,02/07/21,cjbuslines,0,0
28/06/21,02/07/21,coachusa,92,2363
28/06/21,02/07/21,decamp,16,132
28/06/21,02/07/21,greyhound,60,1819
28/06/21,02/07/21,hceecommunity,94,1448
28/06/21,02/07/21,lakeland,20,512
28/06/21,02/07/21,martz,17,669
28/06/21,02/07/21,njtransit,2126,39282
28/06/21,02/07/21,peterpanbonanza,31,1102
28/06/21,02/07/21,trailways,17,479
28/06/21,02/07/21,transbridge,14,454
05/07/21,09/07/21,academy,35,778
05/07/21,09/07/21,cjbuslines,0,0
05/07/21,09/07/21,coachusa,94,2459
05/07/21,09/07/21,decamp,16,155
05/07/21,09/07/21,greyhound,61,1850
05/07/21,09/07/21,hceecommunity,93,1437
05/07/21,09/07/21,lakeland,20,543
05/07/21,09/07/21,martz,18,686
05/07/21,09/07/21,njtransit,2126,39100
05/07/21,09/07/21,peterpanbonanza,34,1262
05/07/21,09/07/21,trailways,19,492
05/07/21,09/07/21,transbridge,14,480
12/07/21,16/07/21,academy,35,843
12/07/21,16/07/21,cjbuslines,0,0
12/07/21,16/07/21,coachusa,95,2630
12/07/21,16/07/21,decamp,16,188
12/07/21,16/07/21,greyhound,61,1850
12/07/21,16/07/21,hceecommunity,93,1437
12/07/21,16/07/21,lakeland,20,557
12/07/21,16/07/21,martz,17,670
12/07/21,16/07/21,njtransit,2135,40256
12/07/21,16/07/21,peterpanbonanza,34,1262
12/07/21,16/07/21,trailways,17,421
12/07/21,16/07/21,transbridge,14,467
19/07/21,23/07/21,academy,35,869
19/07/21,23/07/21,cjbuslines,0,0
19/07/21,23/07/21,coachusa,99,2716
19/07/21,23/07/21,decamp,16,194
19/07/21,23/07/21,greyhound,58,1685
19/07/21,23/07/21,hceecommunity,89,1455
19/07/21,23/07/21,lakeland,20,579
19/07/21,23/07/21,martz,17,704
19/07/21,23/07/21,njtransit,2097,39440
19/07/21,23/07/21,peterpanbonanza,25,819
19/07/21,23/07/21,trailways,17,451
19/07/21,23/07/21,transbridge,15,495
26/07/21,30/07/21,academy,35,872
26/07/21,30/07/21,cjbuslines,0,0
26/07/21,30/07/21,coachusa,101,2776
26/07/21,30/07/21,decamp,16,189
26/07/21,30/07/21,greyhound,59,1672
26/07/21,30/07/21,hceecommunity,94,1530
26/07/21,30/07/21,lakeland,20,578
26/07/21,30/07/21,martz,17,680
26/07/21,30/07/21,njtransit,2080,40047
26/07/21,30/07/21,peterpanbonanza,25,770
26/07/21,30/07/21,trailways,17,468
26/07/21,30/07/21,transbridge,15,484
02/08/21,06/08/21,academy,36,869
02/08/21,06/08/21,cjbuslines,0,0
02/08/21,06/08/21,coachusa,102,2740
02/08/21,06/08/21,decamp,16,198
02/08/21,06/08/21,greyhound,60,1724
02/08/21,06/08/21,hceecommunity,94,1530
02/08/21,06/08/21,lakeland,20,582
02/08/21,06/08/21,martz,17,695
02/08/21,06/08/21,njtransit,2116,40106
02/08/21,06/08/21,peterpanbonanza,25,790
02/08/21,06/08/21,trailways,18,464
02/08/21,06/08/21,transbridge,15,495
09/08/21,13/08/21,academy,35,826
09/08/21,13/08/21,cjbuslines,0,0
09/08/21,13/08/21,coachusa,103,2666
09/08/21,13/08/21,decamp,16,182
09/08/21,13/08/21,greyhound,58,1890
09/08/21,13/08/21,hceecommunity,99,1558
09/08/21,13/08/21,lakeland,20,582
09/08/21,13/08/21,martz,17,697
09/08/21,13/08/21,njtransit,2140,40372
09/08/21,13/08/21,peterpanbonanza,25,835
09/08/21,13/08/21,trailways,17,469
09/08/21,13/08/21,transbridge,15,479
16/08/21,20/08/21,academy,35,770
16/08/21,20/08/21,cjbuslines,0,0
16/08/21,20/08/21,coachusa,107,2669
16/08/21,20/08/21,decamp,16,212
16/08/21,20/08/21,greyhound,58,1723
16/08/21,20/08/21,hceecommunity,99,1507
16/08/21,20/08/21,lakeland,20,555
16/08/21,20/08/21,martz,17,662
16/08/21,20/08/21,njtransit,2133,40215
16/08/21,20/08/21,peterpanbonanza,31,968
16/08/21,20/08/21,trailways,18,495
16/08/21,20/08/21,transbridge,17,468
23/08/21,27/08/21,academy,35,780
23/08/21,27/08/21,cjbuslines,0,0
23/08/21,27/08/21,coachusa,110,2555
23/08/21,27/08/21,decamp,16,203
23/08/21,27/08/21,greyhound,59,1888
23/08/21,27/08/21,hceecommunity,90,1438
23/08/21,27/08/21,lakeland,20,551
23/08/21,27/08/21,martz,17,652
23/08/21,27/08/21,njtransit,2141,40837
23/08/21,27/08/21,peterpanbonanza,26,908
23/08/21,27/08/21,trailways,19,516
23/08/21,27/08/21,transbridge,17,458
30/08/21,03/09/21,academy,35,799
30/08/21,03/09/21,cjbuslines,0,0
30/08/21,03/09/21,coachusa,109,2521
30/08/21,03/09/21,decamp,16,199
30/08/21,03/09/21,greyhound,58,1687
30/08/21,03/09/21,hceecommunity,92,1426
30/08/21,03/09/21,lakeland,20,521
30/08/21,03/09/21,martz,17,622
30/08/21,03/09/21,njtransit,2019,36433
30/08/21,03/09/21,peterpanbonanza,24,709
30/08/21,03/09/21,trailways,18,498
30/08/21,03/09/21,transbridge,17,420
06/09/21,10/09/21,academy,34,791
06/09/21,10/09/21,cjbuslines,0,0
06/09/21,10/09/21,coachusa,108,2864
06/09/21,10/09/21,decamp,16,218
06/09/21,10/09/21,greyhound,61,1707
06/09/21,10/09/21,hceecommunity,82,1441
06/09/21,10/09/21,lakeland,25,604
06/09/21,10/09/21,martz,17,679
06/09/21,10/09/21,njtransit,2132,41099
06/09/21,10/09/21,peterpanbonanza,24,776
06/09/21,10/09/21,trailways,21,680
06/09/21,10/09/21,transbridge,17,500
13/09/21,17/09/21,academy,34,952
13/09/21,17/09/21,cjbuslines,0,0
13/09/21,17/09/21,coachusa,121,3155
13/09/21,17/09/21,decamp,16,257
13/09/21,17/09/21,greyhound,59,1388
13/09/21,17/09/21,hceecommunity,93,1534
13/09/21,17/09/21,lakeland,25,674
13/09/21,17/09/21,martz,17,693
13/09/21,17/09/21,njtransit,2120,45441
13/09/21,17/09/21,peterpanbonanza,28,618
13/09/21,17/09/21,trailways,18,370
13/09/21,17/09/21,transbridge,17,525
20/09/21,24/09/21,academy,33,1007
20/09/21,24/09/21,cjbuslines,0,0
